ⲥⲉⲥⲱⲧⲙ	ⲥⲉ|ⲥⲱⲧⲙ
ⲛϩⲃⲁ	ⲛ|ϩⲃⲁ
ϩⲓⲟⲣⲅⲏ	ϩⲓ|ⲟⲣⲅⲏ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲓⲧⲟⲟⲧϥ	ϩⲓⲧⲟⲟⲧ|ϥ
ⲙⲡⲉⲛⲧⲁⲩϯϭⲱⲛⲧ	ⲙ|ⲡ|ⲉⲛⲧ|ⲁ|ⲩ|ϯϭⲱⲛⲧ
ⲛⲁϥ	ⲛⲁ|ϥ
ⲡⲛⲟⲩⲧⲉ	ⲡ|ⲛⲟⲩⲧⲉ
ⲡⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ	ⲡ|ⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ
·	·
ⲁⲩⲱ	ⲁⲩⲱ
ϣⲁⲛⲧⲉⲡⲉⲓⲛⲟϭ	ϣⲁⲛⲧⲉ|ⲡⲉⲓ|ⲛⲟϭ
ⲛⲧⲁⲕ	ⲛ|ⲧⲁⲕ
ⲟⲛ	ⲟⲛ
ϥⲱⲧⲉ	ϥⲱⲧⲉ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϣⲱⲡⲉ	ϣⲱⲡⲉ
ϩⲓϫⲙⲡⲕⲁϩ	ϩⲓϫⲙ|ⲡ|ⲕⲁϩ
·	·
ⲉⲙⲛⲟⲩϣⲏⲣⲉ	ⲉ|ⲙⲛ|ⲟⲩ|ϣⲏⲣⲉ
ⲥⲕⲉⲡⲁⲍⲉ	ⲥⲕⲉⲡⲁⲍⲉ
ⲙⲡⲥⲱⲙⲁ	ⲙ|ⲡ|ⲥⲱⲙⲁ
ⲛⲟⲩⲉⲓⲱⲧ	ⲛ|ⲟⲩ|ⲉⲓⲱⲧ
ⲉⲧⲣⲉϥⲧⲟⲙⲥϥ	ⲉ|ⲧⲣⲉ|ϥ|ⲧⲟⲙⲥ|ϥ
ⲟⲩⲧⲉ	ⲟⲩⲧⲉ
ⲉⲙⲛⲟⲩⲉⲓⲱⲧ	ⲉ|ⲙⲛ|ⲟⲩ|ⲉⲓⲱⲧ
ⲥⲕⲉⲡⲁⲍⲉ	ⲥⲕⲉⲡⲁⲍⲉ
ⲛⲛⲉϥϣⲏⲣⲉ	ⲛ|ⲛⲉϥ|ϣⲏⲣⲉ
ⲉⲧⲣⲉϥϩⲟⲃⲥⲟⲩ	ⲉ|ⲧⲣⲉ|ϥ|ϩⲟⲃⲥ|ⲟⲩ
ϩⲛⲧⲙⲏⲧⲉ	ϩⲛ|ⲧ|ⲙⲏⲧⲉ
ⲛⲙⲙⲟⲩ	ⲛ|ⲙ|ⲙⲟⲩ
ⲛⲉⲓⲟⲟⲩⲉ	ⲛ|ⲉⲓⲟⲟⲩⲉ
·	·
ϩⲙⲡⲧⲣⲉⲡⲛⲟⲩⲛ	ϩⲙ|ⲡ|ⲧⲣⲉ|ⲡ|ⲛⲟⲩⲛ
ⲡⲱϩ	ⲡⲱϩ
·	·
ⲁⲩⲱ	ⲁⲩⲱ
ⲛⲧⲉⲛⲕⲁⲧⲁϩⲣⲁⲕⲧⲏⲥ	ⲛ|ⲧⲉⲛ|ⲕⲁⲧⲁϩⲣⲁⲕⲧⲏⲥ
ⲛⲧⲡⲉ	ⲛ|ⲧ|ⲡⲉ
ⲟⲩⲱⲛ	ⲟⲩⲱⲛ
ⲟⲩⲧⲉ	ⲟⲩⲧⲉ
ⲙⲙⲛϩⲉ	ⲙⲙⲛ|ϩⲉ
ⲛϩⲓⲟⲙⲉ	ⲛ|ϩⲓⲟⲙⲉ
ⲥⲕⲉⲡⲁⲍⲉ	ⲥⲕⲉⲡⲁⲍⲉ
ⲛⲛⲉⲩϩⲁⲓ	ⲛ|ⲛⲉⲩ|ϩⲁⲓ
·	·
ⲟⲩⲧⲉ	ⲟⲩⲧⲉ
ⲙⲙⲛϩⲉⲛϩⲁⲓ	ⲙⲙⲛ|ϩⲉⲛ|ϩⲁⲓ
ⲥⲕⲉⲡⲁⲍⲉ	ⲥⲕⲉⲡⲁⲍⲉ
ⲛⲛⲉⲩϩⲓⲟⲙⲉ	ⲛ|ⲛⲉⲩ|ϩⲓⲟⲙⲉ
·	·
ⲟⲩⲧⲉ	ⲟⲩⲧⲉ
ⲙⲙⲛϩⲉⲛⲥⲛⲏⲩ	ⲙⲙⲛ|ϩⲉⲛ|ⲥⲛⲏⲩ
ⲥⲕⲉⲡⲁⲍⲉ	ⲥⲕⲉⲡⲁⲍⲉ
ⲛϩⲉⲛⲥⲛⲏⲩ	ⲛ|ϩⲉⲛ|ⲥⲛⲏⲩ
·	·
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ⲡⲉⲓⲧⲁⲕⲟ	ⲡⲉⲓ|ⲧⲁⲕⲟ
ⲛⲟⲩⲱⲧ	ⲛ|ⲟⲩⲱⲧ
ⲡⲉⲧϣⲟⲟⲡ	ⲡ|ⲉⲧ|ϣⲟⲟⲡ
ⲛⲁⲩ	ⲛⲁ|ⲩ
ϩⲓⲟⲩⲥⲟⲡ	ϩⲓ|ⲟⲩ|ⲥⲟⲡ
·	·
ⲟⲩⲧⲉ	ⲟⲩⲧⲉ
ⲙⲙⲛⲣⲡⲙⲉⲉⲩⲉ	ⲙⲙⲛ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ
ⲙⲡⲣⲟⲥⲫⲟⲣⲁ	ⲙ|ⲡⲣⲟⲥⲫⲟⲣⲁ
ⲃⲏⲕ	ⲃⲏⲕ
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ
ϩⲁⲣⲟⲟⲩ	ϩⲁⲣⲟ|ⲟⲩ
ⲉⲩⲣⲡⲙⲉⲉⲩⲉ	ⲉ|ⲩ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ
ⲛⲁⲩ	ⲛⲁ|ⲩ
·	·
ⲏ	ⲏ
ϩⲉⲛⲣⲉ	ϩⲉⲛ|ⲣⲉ
ⲙⲏⲧ	ⲙⲏⲧ
ⲙⲛϩⲉⲛϭⲗⲓⲗ	ⲙⲛ|ϩⲉⲛ|ϭⲗⲓⲗ
ⲉⲩⲑⲩⲥⲓⲁ	ⲉ|ⲩ|ⲑⲩⲥⲓⲁ
ⲛⲣⲡⲙⲉⲉⲩⲉ	ⲛ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ
ⲛⲛⲉⲛⲧⲁⲩⲙⲟⲩ	ⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ⲩ|ⲙⲟⲩ
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ⲁⲩϥⲱⲧⲉ	ⲁ|ⲩ|ϥⲱⲧⲉ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲧⲏⲣⲟⲩ	ⲧⲏⲣ|ⲟⲩ
ϩⲛⲟⲩⲧⲁⲕⲟ	ϩⲛ|ⲟⲩ|ⲧⲁⲕⲟ
ⲉⲓⲙⲏⲧⲓ	ⲉⲓⲙⲏⲧⲓ
ⲉⲛⲱϩⲉ	ⲉ|ⲛ|ⲱϩⲉ
ⲙⲁⲩⲁⲁϥ	ⲙⲁⲩⲁⲁ|ϥ
ⲉⲛⲧⲁϥϣⲱϫⲡ	ⲉ|ⲛⲧ|ⲁ|ϥ|ϣⲱϫⲡ
ⲙⲛⲧⲉϥⲥϩⲓⲙⲉ	ⲙⲛ|ⲧⲉϥ|ⲥϩⲓⲙⲉ
ⲙⲛⲛⲉϥϣⲏⲣⲉ	ⲙⲛ|ⲛⲉϥ|ϣⲏⲣⲉ
ϩⲛⲧⲕⲓⲃⲱⲧⲟⲥ	ϩⲛ|ⲧ|ⲕⲓⲃⲱⲧⲟⲥ
·	·
ⲉⲁϥⲧⲁⲗⲟ	ⲉ|ⲁ|ϥ|ⲧⲁⲗⲟ
ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ
ⲛϩⲉⲛⲧⲁⲗⲟ	ⲛ|ϩⲉⲛ|ⲧⲁⲗⲟ
ⲉϫⲙⲡⲉⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ	ⲉϫⲙ|ⲡⲉ|ⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ
ⲙⲛⲛⲥⲁⲧⲣⲉϥⲉⲓ	ⲙⲛⲛⲥⲁ|ⲧⲣⲉ|ϥ|ⲉⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲛⲧⲕⲓⲃⲱⲧⲟⲥ	ϩⲛ|ⲧ|ⲕⲓⲃⲱⲧⲟⲥ
ⲉⲁⲡϫⲟⲉⲓⲥ	ⲉ|ⲁ|ⲡ|ϫⲟⲉⲓⲥ
ϣⲉⲗⲙⲟⲩⲥϯⲛⲟⲩϥⲉ	ϣⲉⲗⲙ|ⲟⲩ|ⲥϯⲛⲟⲩϥⲉ
·	·
ⲁϥⲣϩⲧⲏϥ	ⲁ|ϥ|ⲣϩⲧⲏϥ
ⲁϥⲥⲙⲓⲛⲉ	ⲁ|ϥ|ⲥⲙⲓⲛⲉ
ⲛⲙⲙⲁϥ	ⲛⲙⲙⲁ|ϥ
ⲛⲟⲩⲇⲓⲁⲑⲏⲕⲏ	ⲛ|ⲟⲩ|ⲇⲓⲁⲑⲏⲕⲏ
ϣⲁⲉⲛⲉϩ	ϣⲁ|ⲉⲛⲉϩ
·	·
ⲛⲧⲉⲛϩⲉ	ⲛ|ⲧⲉⲛ|ϩⲉ
ϩⲱⲱⲛ	ϩⲱⲱ|ⲛ
ⲙⲡⲛⲣϩⲧⲏⲛ	ⲙⲡ|ⲛ|ⲣ|ϩⲧⲏ|ⲛ
ⲉⲛⲱⲱ	ⲉ|ⲛ|ⲱⲱ
ⲛⲛⲉⲛⲧⲁϥⲧⲁⲕⲟⲟⲩ	ⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ϥ|ⲧⲁⲕⲟ|ⲟⲩ
ϩⲁⲧⲉⲛϩⲏ	ϩⲁ|ⲧⲉⲛ|ϩⲏ
ϩⲛⲛⲣⲱⲙⲉ	ϩⲛ|ⲛ|ⲣⲱⲙⲉ
ⲛⲁⲣⲭⲁⲓⲟⲥ	ⲛ|ⲁⲣⲭⲁⲓⲟⲥ
·	·
ⲟⲩⲧⲉ	ⲟⲩⲧⲉ
ⲙⲡⲛⲕⲱϩ	ⲙⲡ|ⲛ|ⲕⲱϩ
ⲉⲛⲉⲛⲥⲛⲏⲩ	ⲉ|ⲛⲉⲛ|ⲥⲛⲏⲩ
ⲉⲧⲉⲓⲣⲉ	ⲉⲧ|ⲉⲓⲣⲉ
ⲙⲡⲡⲉⲧⲛⲁⲛⲟⲩϥ	ⲙ|ⲡ|ⲡⲉⲧⲛⲁⲛⲟⲩϥ
ϩⲛⲟⲩϩⲕⲟ	ϩⲛ|ⲟⲩ|ϩⲕⲟ
ⲙⲛⲟⲩⲉⲓⲃⲉ	ⲙⲛ|ⲟⲩ|ⲉⲓⲃⲉ
ϩⲛϩⲉⲛⲛⲏⲥⲧⲉⲓⲁ	ϩⲛ|ϩⲉⲛ|ⲛⲏⲥⲧⲉⲓⲁ
ⲉⲛⲁϣⲱⲟⲩ	ⲉ|ⲛⲁϣⲱ|ⲟⲩ
ϩⲛϩⲉⲛⲟⲩϣⲏ	ϩⲛ|ϩⲉⲛ|ⲟⲩϣⲏ
ⲛⲣⲟⲉⲓⲥ	ⲛ|ⲣⲟⲉⲓⲥ
ⲛϩⲁϩ	ⲛ|ϩⲁϩ
ⲛⲥⲟⲡ	ⲛ|ⲥⲟⲡ
·	·
ϩⲛⲟⲩⲧⲃⲃⲟ	ϩⲛ|ⲟⲩ|ⲧⲃⲃⲟ
ⲡⲛⲟϭ	ⲡ|ⲛⲟϭ
ⲛⲕⲉⲫⲁⲗⲁⲓⲟⲛ	ⲛ|ⲕⲉⲫⲁⲗⲁⲓⲟⲛ
ⲉⲧⲛϣⲁϫⲉ	ⲉⲧ|ⲛ|ϣⲁϫⲉ
ⲉⲧⲃⲏⲏⲧϥ	ⲉⲧⲃⲏⲏⲧ|ϥ
ϩⲛⲟⲩⲙⲛⲧⲁⲡⲟⲧⲁⲕⲧⲓⲕⲟⲥ	ϩⲛ|ⲟⲩ|ⲙⲛⲧⲁⲡⲟⲧⲁⲕⲧⲓⲕⲟⲥ
ⲙⲛⲛⲉϩⲃⲏⲩⲉ	ⲙⲛ|ⲛⲉ|ϩⲃⲏⲩⲉ
ⲧⲏⲣⲟⲩ	ⲧⲏⲣ|ⲟⲩ
ⲉⲧⲛⲁⲛⲟⲩⲟⲩ	ⲉⲧ|ⲛⲁⲛⲟⲩ|ⲟⲩ
ⲉⲧⲟⲩⲉⲓⲣⲉ	ⲉⲧ|ⲟⲩ|ⲉⲓⲣⲉ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ
ⲉⲧⲟ	ⲉⲧ|ⲟ
ⲙⲙⲛⲧⲣⲉ	ⲙ|ⲙⲛⲧⲣⲉ
ⲙⲡⲉⲩⲙⲉ	ⲙ|ⲡⲉⲩ|ⲙⲉ
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ
ⲉⲡⲛⲟⲩⲧⲉ	ⲉ|ⲡ|ⲛⲟⲩⲧⲉ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϫⲉⲛⲧⲟϥ	ϫⲉ|ⲛⲧⲟϥ
ϩⲱⲱϥ	ϩⲱⲱ|ϥ
ⲡϫⲟⲉⲓⲥ	ⲡ|ϫⲟⲉⲓⲥ
ⲡⲥⲱⲧⲏⲣ	ⲡ|ⲥⲱⲧⲏⲣ
ⲛⲁⲅⲁⲑⲟⲥ	ⲛ|ⲁⲅⲁⲑⲟⲥ
ⲉⲁϥⲙⲉⲣⲓⲧⲟⲩ	ⲉ|ⲁ|ϥ|ⲙⲉⲣⲓⲧ|ⲟⲩ
ⲛϩⲟⲩⲟ	ⲛ|ϩⲟⲩⲟ
ϣⲁϩⲣⲁⲓ	ϣⲁϩⲣⲁⲓ
ⲉⲡⲙⲟⲩ	ⲉ|ⲡ|ⲙⲟⲩ
ⲟⲩⲙⲟⲩ	ⲟⲩ|ⲙⲟⲩ
ⲇⲉ	ⲇⲉ
ⲛⲥⲧⲁⲩⲣⲟⲥ	ⲛ|ⲥⲧⲁⲩⲣⲟⲥ
ⲉⲩⲉⲓⲣⲉ	ⲉ|ⲩ|ⲉⲓⲣⲉ
ⲛⲛⲁⲓ	ⲛ|ⲛⲁⲓ
ⲙⲛⲛⲉⲓⲕⲟⲟⲩⲉ	ⲙⲛ|ⲛⲉⲓ|ⲕⲟⲟⲩⲉ
·	·
ⲉⲛϭⲱϣⲧ	ⲉ|ⲛ|ϭⲱϣⲧ
ⲛⲥⲱⲟⲩ	ⲛⲥⲱ|ⲟⲩ
ⲉⲛⲟⲩⲏϩ	ⲉ|ⲛ|ⲟⲩⲏϩ
ⲛⲙⲙⲁⲩ	ⲛⲙⲙⲁ|ⲩ
·	·
ⲙⲡⲛⲣϩⲧⲏⲛ	ⲙⲡ|ⲛ|ⲣ|ϩⲧⲏ|ⲛ
·	·
ⲟⲩⲧⲉ	ⲟⲩⲧⲉ
ⲙⲡⲛⲥⲱⲧⲙ	ⲙⲡ|ⲛ|ⲥⲱⲧⲙ
ϫⲉⲟⲩⲛⲟⲩϫⲱⲕ	ϫⲉ|ⲟⲩⲛ|ⲟⲩ|ϫⲱⲕ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲛⲁϣⲱⲡⲉ	ⲛⲁ|ϣⲱⲡⲉ
ⲉⲛϥϣⲟⲃⲉ	ⲉ|ⲛ|ϥ|ϣⲟⲃⲉ
ⲁⲛ	ⲁⲛ
ⲉⲡⲙⲟⲟⲩ	ⲉ|ⲡ|ⲙⲟⲟⲩ
ⲙⲡⲕⲁⲧⲁⲕⲗⲩⲥⲙⲟⲥ	ⲙ|ⲡ|ⲕⲁⲧⲁⲕⲗⲩⲥⲙⲟⲥ
ⲉⲓϣⲁϫⲉ	ⲉ|ⲓ|ϣⲁϫⲉ
ⲉⲡⲙⲟⲩ	ⲉ|ⲡ|ⲙⲟⲩ
·	·
ⲛⲧϩⲉ	ⲛ|ⲧ|ϩⲉ
ⲉⲧⲉⲙⲡⲉⲛⲅⲓⲅⲁⲥ	ⲉⲧⲉ|ⲙⲡⲉ|ⲛ|ⲅⲓⲅⲁⲥ
ⲛⲁⲣⲭⲁⲓⲟⲥ	ⲛ|ⲁⲣⲭⲁⲓⲟⲥ
·	·
ⲙⲛⲡⲗⲁⲟⲥ	ⲙⲛ|ⲡ|ⲗⲁⲟⲥ
ⲧⲏⲣϥ	ⲧⲏⲣ|ϥ
ⲛⲧⲁϥⲧⲁⲕⲟ	ⲛⲧ|ⲁ|ϥ|ⲧⲁⲕⲟ
ⲥⲟⲧⲟⲩ	ⲥⲟⲧ|ⲟⲩ
ⲉⲛⲁⲩ	ⲉ|ⲛⲁⲩ
ⲉⲛⲱϩⲉ	ⲉ|ⲛ|ⲱϩⲉ
·	·
ⲙⲛⲡⲉϥⲏⲓ	ⲙⲛ|ⲡⲉϥ|ⲏⲓ
ⲧⲏⲣϥ	ⲧⲏⲣ|ϥ
ⲉⲛⲧⲁϥⲟⲩϫⲁⲓ	ⲉⲛⲧ|ⲁ|ϥ|ⲟⲩϫⲁⲓ
ⲧⲁⲓ	ⲧⲁⲓ
ⲧⲉ	ⲧⲉ
ⲧϩⲉ	ⲧ|ϩⲉ
ⲉⲧⲉⲙⲙⲛϩⲉⲛⲣⲱⲙⲉ	ⲉⲧⲉ|ⲙⲙⲛ|ϩⲉⲛ|ⲣⲱⲙⲉ
ⲛⲣⲉϥⲣⲛⲟⲃⲉ	ⲛ|ⲣⲉϥⲣⲛⲟⲃⲉ
ⲏ	ⲏ
ϩⲉⲛⲥⲛⲏⲩ	ϩⲉⲛ|ⲥⲛⲏⲩ
ⲙⲡⲁⲣⲁⲛⲟⲙⲟⲥ	ⲙ|ⲡⲁⲣⲁⲛⲟⲙⲟⲥ
ⲛⲁⲥⲟⲧⲟⲩ	ⲛⲁ|ⲥⲟⲧ|ⲟⲩ
ⲉⲛⲁⲩ	ⲉ|ⲛⲁⲩ
ⲉϩⲉⲛⲥⲛⲏⲩ	ⲉ|ϩⲉⲛ|ⲥⲛⲏⲩ
ⲛⲇⲓⲕⲁⲓⲟⲥ	ⲛ|ⲇⲓⲕⲁⲓⲟⲥ
ϩⲙⲡⲉⲩⲙⲧⲟⲛ	ϩⲙ|ⲡⲉⲩ|ⲙⲧⲟⲛ
·	·
ⲙⲛⲡⲉⲩⲣⲁϣⲉ	ⲙⲛ|ⲡⲉⲩ|ⲣⲁϣⲉ
ϩⲙⲡⲧⲣⲉⲩⲙⲟⲩ	ϩⲙ|ⲡ|ⲧⲣⲉ|ⲩ|ⲙⲟⲩ
ⲛϩⲣⲁⲓ	ⲛϩⲣⲁⲓ
ϩⲛⲛⲉⲩⲡⲉⲧϩⲟⲟⲩ	ϩⲛ|ⲛⲉⲩ|ⲡⲉⲧϩⲟⲟⲩ
·	·
ⲡⲁⲗⲓⲛ	ⲡⲁⲗⲓⲛ
ⲟⲛ	ⲟⲛ
ⲧⲉⲧⲛⲏⲡ	ⲧⲉⲧⲛ|ⲏⲡ
ⲉⲫⲁⲣⲁⲱ	ⲉ|ⲫⲁⲣⲁⲱ
ⲙⲛⲡⲉϥⲙⲏⲏϣⲉ	ⲙⲛ|ⲡⲉϥ|ⲙⲏⲏϣⲉ
ⲧⲏⲣϥ	ⲧⲏⲣ|ϥ
·	·
ⲛⲧⲁϥⲱⲙⲥ	ⲛⲧ|ⲁ|ϥ|ⲱⲙⲥ
ϩⲛⲧⲉⲣⲩⲑⲣⲁ	ϩⲛ|ⲧ|ⲉⲣⲩⲑⲣⲁ
ⲧⲑⲁⲗⲁⲥⲥⲁ	ⲧ|ⲑⲁⲗⲁⲥⲥⲁ
·	·
ϫⲉⲁⲩⲣⲁⲧⲥⲱⲧⲙ	ϫⲉ|ⲁ|ⲩ|ⲣⲁⲧⲥⲱⲧⲙ
ⲛⲥⲁⲡⲛⲟⲩⲧⲉ	ⲛⲥⲁ|ⲡ|ⲛⲟⲩⲧⲉ
·	·
ⲉϥϣⲁϫⲉ	ⲉ|ϥ|ϣⲁϫⲉ
ⲛⲙⲙⲁⲩ	ⲛⲙⲙⲁ|ⲩ
ϩⲓⲧⲙⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ	ϩⲓⲧⲙ|ⲡⲉ|ⲡⲣⲟⲫⲏⲧⲏⲥ
ⲉⲧⲟⲩⲁⲁⲃ	ⲉⲧ|ⲟⲩⲁⲁⲃ
ⲙⲱⲩⲥⲏⲥ	ⲙⲱⲩⲥⲏⲥ
ⲙⲛⲁⲁⲣⲱⲛ	ⲙⲛ|ⲁⲁⲣⲱⲛ
ⲧⲉⲧⲛⲏⲡ	ⲧⲉⲧⲛ|ⲏⲡ
ⲉⲛⲉⲛⲧⲁⲡϫⲟⲉⲓⲥ	ⲉ|ⲛ|ⲉⲛⲧ|ⲁ|ⲡ|ϫⲟⲉⲓⲥ
ⲡⲁⲧⲁⲥⲥⲉⲓ	ⲡⲁⲧⲁⲥⲥⲉⲓ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ
ⲧⲏⲣⲟⲩ	ⲧⲏⲣ|ⲟⲩ
ϩⲛⲧⲉⲣⲏⲙⲟⲥ	ϩⲛ|ⲧ|ⲉⲣⲏⲙⲟⲥ
·	·
ϩⲛϩⲉⲛⲙⲟⲩ	ϩⲛ|ϩⲉⲛ|ⲙⲟⲩ
ⲉⲩϣⲟⲃⲉ	ⲉ|ⲩ|ϣⲟⲃⲉ
ϫⲉⲁⲩⲣⲁⲧⲥⲱⲧⲙ	ϫⲉ|ⲁ|ⲩ|ⲣⲁⲧⲥⲱⲧⲙ
ⲛⲥⲱϥ	ⲛⲥⲱ|ϥ
·	·
ⲉⲧⲣⲉⲩⲉⲓⲣⲉ	ⲉ|ⲧⲣⲉ|ⲩ|ⲉⲓⲣⲉ
ⲕⲁⲧⲁⲛⲉⲛⲧⲁϥϩⲱⲛ	ⲕⲁⲧⲁ|ⲛ|ⲉⲛⲧ|ⲁ|ϥ|ϩⲱⲛ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ
ⲧⲏⲣⲟⲩ	ⲧⲏⲣ|ⲟⲩ
ⲉⲧⲟⲟⲧⲟⲩ	ⲉⲧⲟⲟⲧ|ⲟⲩ
ⲉⲩⲙⲟⲟϣⲉ	ⲉ|ⲩ|ⲙⲟⲟϣⲉ
ⲙⲛⲡⲗⲁⲟⲥ	ⲙⲛ|ⲡ|ⲗⲁⲟⲥ
ⲙⲡⲛⲟⲩⲧⲉ	ⲙ|ⲡ|ⲛⲟⲩⲧⲉ
ⲙⲡⲉⲓⲟⲩⲟⲉⲓϣ	ⲙ|ⲡⲉⲓ|ⲟⲩⲟⲉⲓϣ
ⲛⲁⲓ	ⲛⲁⲓ
ⲛⲧⲁⲡⲛⲟⲩⲧⲉ	ⲛⲧ|ⲁ|ⲡ|ⲛⲟⲩⲧⲉ
ⲥⲕⲉⲡⲁⲍⲉ	ⲥⲕⲉⲡⲁⲍⲉ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ
ϣⲁⲛⲧⲉϥϫⲓⲧⲟⲩ	ϣⲁⲛⲧⲉ|ϥ|ϫⲓⲧ|ⲟⲩ
ⲉⲡⲕⲁϩ	ⲉ|ⲡ|ⲕⲁϩ
ⲛⲧⲉⲩⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ	ⲛ|ⲧⲉⲩ|ⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ
ⲧⲉⲧⲛⲏⲡ	ⲧⲉⲧⲛ|ⲏⲡ
ⲉⲧⲥⲩⲛⲁⲅⲱⲅⲏ	ⲉ|ⲧ|ⲥⲩⲛⲁⲅⲱⲅⲏ
ⲛⲕⲟⲣⲉ	ⲛ|ⲕⲟⲣⲉ
ⲙⲛⲇⲁⲑⲁⲛ	ⲙⲛ|ⲇⲁⲑⲁⲛ
ⲙⲛⲁⲃⲓⲣⲱⲛ	ⲙⲛ|ⲁⲃⲓⲣⲱⲛ
ⲛⲁⲓ	ⲛⲁⲓ
ⲛⲧⲁⲡⲕⲁϩ	ⲛⲧ|ⲁ|ⲡ|ⲕⲁϩ
ⲡⲱϩ	ⲡⲱϩ
ⲁⲩⲃⲱⲕ	ⲁ|ⲩ|ⲃⲱⲕ
ⲉⲡⲉⲥⲏⲧ	ⲉ|ⲡ|ⲉⲥⲏⲧ
ⲉⲁⲙⲛⲧⲉ	ⲉ|ⲁⲙⲛⲧⲉ
ⲉⲩⲟⲛϩ	ⲉ|ⲩ|ⲟⲛϩ
ⲙⲛⲧⲉⲩⲥⲩⲛⲁⲅⲱⲅⲏ	ⲙⲛ|ⲧⲉⲩ|ⲥⲩⲛⲁⲅⲱⲅⲏ
ⲧⲏⲣⲥ	ⲧⲏⲣ|ⲥ
ⲙⲁⲗⲓⲥⲧⲁ	ⲙⲁⲗⲓⲥⲧⲁ
ⲉϣⲱⲡⲉ	ⲉϣⲱⲡⲉ
ⲧⲉⲧⲛⲉⲓⲣⲉ	ⲧⲉⲧⲛ|ⲉⲓⲣⲉ
ⲛϩⲉⲛⲡⲁⲣⲁⲛⲟⲙⲓⲁ	ⲛ|ϩⲉⲛ|ⲡⲁⲣⲁⲛⲟⲙⲓⲁ
ϩⲉⲛϫⲱϩⲙ	ϩⲉⲛ|ϫⲱϩⲙ
ⲙⲛϩⲉⲛⲥⲱⲱϥ	ⲙⲛ|ϩⲉⲛ|ⲥⲱⲱϥ
ⲙⲛϩⲉⲛⲡⲁⲣⲁⲫⲩⲥⲓⲥ	ⲙⲛ|ϩⲉⲛ|ⲡⲁⲣⲁⲫⲩⲥⲓⲥ
·	·
ⲧⲉⲧⲛⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ	ⲧⲉⲧⲛ|ⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ
ⲁⲩⲱ	ⲁⲩⲱ
ⲡⲉⲧⲛⲕⲗⲏⲣⲟⲥ	ⲡⲉⲧⲛ|ⲕⲗⲏⲣⲟⲥ
ⲛⲁϣⲱⲡⲉ	ⲛⲁ|ϣⲱⲡⲉ
ⲙⲛⲛⲣⲱⲙⲉ	ⲙⲛ|ⲛ|ⲣⲱⲙⲉ
ⲛⲥⲟⲇⲟⲙⲁ	ⲛ|ⲥⲟⲇⲟⲙⲁ
ⲙⲛⲅⲟⲙⲟⲣⲣⲁ	ⲙⲛ|ⲅⲟⲙⲟⲣⲣⲁ
·	·
ⲧⲉⲧⲛⲏⲡ	ⲧⲉⲧⲛ|ⲏⲡ
ⲉⲛⲉⲛⲧⲁⲩϫⲓϣⲟϫⲛⲉ	ⲉ|ⲛ|ⲉⲛⲧ|ⲁ|ⲩ|ϫⲓϣⲟϫⲛⲉ
ⲧⲏⲣⲟⲩ	ⲧⲏⲣ|ⲟⲩ
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ
ⲉⲡϫⲟⲉⲓⲥ	ⲉ|ⲡ|ϫⲟⲉⲓⲥ
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ
ϣⲁⲛⲧⲟⲩⲙⲟⲟⲩⲧϥ	ϣⲁⲛⲧ|ⲟⲩ|ⲙⲟⲟⲩⲧ|ϥ
·	·
ⲧⲉⲧⲛⲏⲡ	ⲧⲉⲧⲛ|ⲏⲡ
